Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Switzerland,CHE,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Syrian Arab Republic,SYR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Tajikistan,TJK,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Tanzania,TZA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,883.631862206369,915.394957084603,..,..,..
Thailand,THA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,5638.42275952547,5857.5843575189,6055.45659403921,6259.28050248676,..
Timor-Leste,TLS,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1420.01804280453,1407.54380555359,1373.07162898902,..,..
Togo,TGO,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,656.055219729495,661.921328674328,679.533820352756,698.656867619591,..
Tonga,TON,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Trinidad and Tobago,TTO,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Tunisia,TUN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Turkey,TUR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,13913.856244539,14685.6314466158,14841.882758819,14754.9352388208,..
Turkmenistan,TKM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Turks and Caicos Islands,TCA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Tuvalu,TUV,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Uganda,UGA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,893.290178920079,888.694427982334,904.362053893243,931.343478114074,..
Ukraine,UKR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,2946.36604343832,3056.36632589881,3185.54564645981,3326.14420819896,..
United Arab Emirates,ARE,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,41269.6991152397,41754.8471316923,41463.3573099254,41628.0819269526,..
United Kingdom,GBR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,41476.9228757337,42498.5392538368,42741.4513823613,..,..
United States,USA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,52964.3327887057,53842.3153676227,55160.374034186,..,..
